,Bad Battery,Empty Fuel,Empty Gauge,No Start
119,False,True,True,False
120,False,False,False,False
121,False,False,False,False
122,False,False,False,False
123,False,False,True,False
124,False,False,False,False
125,False,False,False,False
126,False,False,False,False
127,False,False,False,False
128,False,False,False,False
129,False,False,False,False
130,True,False,False,True
131,False,True,True,True
132,False,False,False,False
133,False,False,False,False
134,True,False,False,True
135,False,False,False,False
136,False,False,False,False
137,False,False,False,False
138,False,True,True,True
139,False,True,False,True
140,False,False,False,True
141,False,False,False,False
142,False,False,False,False
143,False,False,False,False
144,False,False,False,False
145,False,False,False,False
146,False,False,True,False
147,False,True,True,True
148,False,False,True,False
149,False,False,False,False
150,False,False,False,False
151,False,False,False,False
152,False,True,True,True
153,False,False,False,False
154,True,True,True,True
155,False,False,False,False
156,False,False,True,False
157,False,False,False,False
158,False,False,False,False
159,True,False,True,True
160,False,False,False,False
161,False,False,False,True
162,False,False,False,False
163,False,False,False,False
164,True,False,False,True
165,False,False,False,False
166,False,False,False,False
167,False,False,False,False
168,False,False,False,False
169,False,False,False,False
170,False,False,False,False
171,False,False,False,False
172,False,False,False,False
173,False,False,False,False
174,False,False,False,False
175,True,False,False,True
176,False,False,False,False
177,False,False,False,False
178,False,True,False,True
179,False,True,True,True
180,False,False,True,False
181,True,False,False,True
182,False,False,False,False
183,False,False,False,False
184,False,False,False,False
185,False,False,False,False
186,False,False,False,False
187,False,False,False,False
188,False,False,True,False
189,False,False,False,True
190,False,False,False,False
191,False,False,False,False
192,False,False,False,False
193,False,False,True,False
194,False,False,False,False
195,False,False,False,False
196,False,False,False,False
197,False,False,False,True
198,False,False,True,False
199,False,False,False,False
200,False,False,False,False
201,False,False,False,False
202,False,False,False,False
203,False,True,False,False
204,False,False,False,False
205,True,True,True,True
206,False,False,False,False
207,False,True,True,True
208,False,False,False,False
209,False,False,False,False
210,False,True,False,True
211,False,False,False,False
212,False,False,False,False
213,True,True,True,True
214,False,True,True,False
215,True,False,False,True
216,False,False,False,False
217,False,False,False,True
218,True,False,True,True
219,False,False,False,False
220,False,False,False,False
221,False,False,False,False
222,False,False,False,False
223,False,False,False,False
224,False,False,False,False
225,False,False,False,True
226,False,False,False,True
227,False,True,True,False
228,False,False,False,False
229,False,False,True,False
230,False,True,True,True
231,False,False,False,False
232,False,False,False,False
233,False,False,False,True
234,False,False,False,False
235,False,True,False,True
236,True,False,False,False
237,False,True,True,True
238,False,True,True,True
239,False,False,False,False
240,False,True,True,True
241,False,True,True,False
242,False,False,False,False
243,False,True,True,False
244,False,True,True,True
245,False,False,False,False
246,False,False,False,False
247,False,False,False,False
248,False,True,False,True
249,False,False,False,False
250,False,False,False,False
251,False,False,False,False
252,True,False,False,True
253,False,True,False,True
254,False,False,False,False
255,False,False,False,False
256,False,False,False,True
257,True,True,False,True
258,False,False,True,False
259,False,False,False,False
260,False,False,False,False
261,True,False,False,True
262,False,False,False,False
263,False,False,False,False
264,True,False,False,True
265,False,False,False,True
266,False,False,False,False
267,True,True,True,True
268,False,False,False,False
269,False,False,False,False
270,False,False,False,False
271,False,False,False,False
272,False,False,False,False
273,False,False,False,False
274,False,False,False,False
275,False,True,True,True
276,False,True,True,False
277,False,False,False,False
278,False,False,False,False
279,False,True,True,True
280,False,False,False,False
281,True,False,True,True
282,True,False,True,True
283,False,True,False,True
284,False,False,False,False
285,True,False,False,True
286,False,False,False,False
287,False,False,False,False
288,False,False,False,False
289,False,False,False,False
290,False,False,False,False
291,True,True,True,True
292,False,False,False,True
293,False,False,False,False
294,False,False,False,False
295,False,False,False,False
296,False,False,False,False
297,False,False,False,True
298,False,False,False,False
299,False,True,True,True
300,False,False,False,False
301,True,False,False,True
302,False,False,False,False
303,False,False,False,False
304,False,False,False,False
305,True,False,True,False
306,False,False,False,True
307,False,True,True,True
308,False,False,False,False
309,False,True,True,False
310,False,False,False,False
311,False,True,False,True
312,False,False,False,False
313,False,True,True,True
314,False,False,False,False
315,False,False,False,False
316,False,False,False,False
317,False,False,False,False
318,False,False,False,False
319,True,False,False,True
320,False,False,False,False
321,False,False,False,False
322,False,True,True,True
323,False,False,False,False
324,False,False,False,False
325,False,False,False,False
326,False,False,False,False
327,False,False,False,False
328,False,False,False,False
329,False,True,False,True
330,False,True,True,True
331,False,False,False,False
332,False,True,True,True
333,False,False,False,False
334,False,False,False,False
335,False,False,False,False
336,True,False,False,True
337,False,False,True,False
338,True,False,True,True
339,False,False,False,True
340,False,False,False,False
341,True,False,False,True
342,True,True,True,True
343,True,False,False,True
344,True,False,False,True
345,False,False,False,False
346,False,False,False,False
347,False,False,False,False
348,False,False,False,False
349,False,False,False,False
350,False,False,False,False
351,False,False,False,False
352,False,False,False,False
353,False,False,False,False
354,False,True,True,False
355,False,False,False,False
356,False,False,False,False
357,False,True,True,True
358,False,False,False,False
359,False,False,False,False
360,True,False,False,True
361,False,False,False,False
362,False,False,False,False
363,False,False,False,False
364,True,False,False,False
365,False,False,False,False
366,False,True,True,True
367,False,True,False,True
368,False,False,False,False
369,False,False,False,False
370,False,True,True,True
371,False,False,False,False
372,False,False,False,False
373,False,False,False,False
374,False,True,True,True
375,False,False,False,False
376,False,True,True,True
377,False,False,True,False
378,False,False,False,False
379,False,False,True,False
380,False,False,False,False
381,False,False,True,False
382,True,False,False,False
383,False,False,False,False
384,False,False,False,False
385,False,False,False,False
386,False,True,True,True
387,False,False,False,False
388,True,False,False,True
389,False,False,False,False
390,False,False,False,False
391,False,False,False,True
392,False,False,False,False
393,False,True,True,True
394,False,True,True,True
395,False,False,False,False
396,False,True,False,False
397,False,False,False,False
398,False,False,False,False
399,False,False,False,False
400,False,False,False,False
401,False,False,False,False
402,False,True,True,True
403,True,False,False,True
404,False,False,False,True
405,False,True,False,False
406,False,False,True,False
407,False,True,True,True
408,False,True,True,True
409,False,False,False,False
410,False,True,True,True
411,False,False,False,True
412,False,False,False,False
413,False,False,False,False
414,False,False,False,False
415,False,False,False,False
416,False,False,False,False
417,False,False,False,False
418,False,False,False,False
419,True,False,False,True
420,False,True,True,False
421,False,False,False,False
422,False,True,True,True
423,False,False,False,False
424,False,False,False,False
425,False,False,False,False
426,False,False,False,False
427,False,False,False,False
428,False,False,False,False
429,False,False,False,False
430,True,False,False,True
431,False,False,False,False
432,True,True,True,True
433,False,False,False,False
434,False,False,False,False
435,False,False,True,False
436,False,True,True,False
437,False,False,False,False
438,False,False,False,False
439,True,False,False,True
440,False,True,True,False
441,False,False,False,False
442,False,False,False,False
443,False,False,False,True
444,False,False,False,True
445,False,True,False,True
446,False,False,False,False
447,False,False,False,False
448,False,False,False,False
449,False,False,False,False
450,False,False,False,False
451,False,False,False,False
452,False,False,False,False
453,False,False,False,False
454,False,False,False,False
455,False,False,False,False
456,False,False,True,False
457,True,False,False,False
458,False,False,False,False
459,False,False,False,False
460,False,False,False,False
461,False,False,False,False
462,False,False,False,False
463,False,False,False,False
464,False,False,False,False
465,False,False,False,False
466,False,False,False,True
467,False,False,False,False
468,False,False,True,False
469,False,False,False,False
470,False,True,True,True
471,False,False,False,False
472,True,False,False,True
473,False,False,False,True
474,False,False,False,False
475,False,True,False,True
476,False,False,False,False
477,False,False,False,False
478,True,False,True,True
479,False,False,True,False
480,False,False,False,False
481,False,False,False,False
482,False,False,False,False
483,False,False,False,False
484,False,True,True,True
485,False,False,False,False
486,False,False,False,True
487,False,False,False,True
488,False,False,False,False
489,False,False,False,False
490,False,False,False,False
491,False,False,False,False
492,False,True,True,True
493,False,False,False,False
494,True,False,False,True
495,False,False,False,False
496,False,True,True,True
497,False,False,False,False
498,False,False,False,False
499,False,False,False,False
500,False,True,True,True
501,False,False,False,True
502,False,False,False,False
503,False,False,False,False
504,False,False,False,False
505,False,False,False,False
506,False,False,False,False
507,False,True,True,False
508,False,False,False,True
509,False,False,False,False
510,False,False,False,False
511,False,False,False,False
512,False,False,False,False
513,False,False,False,False
514,False,False,True,False
515,True,False,False,True
516,False,False,False,False
517,False,False,False,False
518,True,False,False,True
519,True,False,False,True
520,False,False,False,False
521,False,False,False,False
522,False,False,False,False
523,False,False,False,False
524,False,False,False,False
525,False,False,False,True
526,False,False,True,True
527,False,False,False,False
528,False,True,True,True
529,False,False,False,False
530,False,False,False,False
531,False,False,False,False
532,False,False,False,False
533,False,False,False,False
534,False,False,False,True
535,False,False,False,False
536,False,False,False,False
537,False,False,True,False
538,False,False,False,False
539,False,False,False,False
540,False,True,True,True
541,False,False,False,False
542,False,False,False,False
543,False,False,False,False
544,False,True,True,True
545,True,False,False,True
546,False,False,False,True
547,False,True,True,True
548,False,False,False,False
549,False,False,False,False
550,True,False,False,True
551,False,False,False,False
552,False,False,False,False
553,False,True,False,True
554,False,True,True,True
555,False,False,False,False
556,False,False,False,False
557,False,False,False,False
558,False,False,False,False
559,False,False,False,True
560,False,False,False,False
561,False,False,False,False
562,False,True,True,True
563,False,False,False,False
564,False,False,False,False
565,True,False,False,True
566,False,False,False,False
567,False,False,False,False
568,False,False,False,False
569,False,False,False,False
570,False,False,False,False
571,False,False,False,True
572,False,False,False,False
573,False,False,False,False
574,False,False,False,False
575,False,False,False,False
576,True,False,True,True
577,True,False,False,True
578,False,False,False,False
579,False,False,False,True
580,False,True,False,False
581,False,False,False,False
582,False,True,True,True
583,False,True,True,True
584,False,False,False,False
585,False,False,False,False
586,False,False,False,False
587,True,False,False,True
588,False,False,False,False
589,False,False,False,False
590,False,False,False,False
591,True,False,False,True
592,False,False,True,False
593,False,False,True,True
594,False,True,True,False
595,False,False,False,False
596,True,False,True,True
597,False,True,True,True
598,False,False,False,False
599,False,False,False,False
600,False,False,False,False
601,False,False,False,False
602,False,True,True,True
603,False,True,True,True
604,False,False,True,False
605,True,False,False,True
606,False,False,False,False
607,False,False,False,True
608,False,False,True,True
609,False,False,False,False
610,False,True,True,True
611,False,False,True,False
612,False,False,False,False
613,False,False,False,False
614,False,False,True,False
615,False,False,False,False
616,False,False,True,False
617,False,False,False,False
618,False,True,True,True
619,False,False,True,False
620,True,False,False,True
621,False,False,False,False
622,False,False,False,False
623,False,False,True,True
624,False,False,False,False
625,False,False,False,False
626,True,False,False,True
627,False,False,False,False
628,False,True,True,True
629,False,False,False,False
630,False,False,False,False
631,False,True,True,True
632,False,False,False,False
633,False,True,True,True
634,False,False,False,False
635,False,False,False,True
636,False,True,True,True
637,False,False,False,False
638,False,False,False,False
639,False,False,False,False
640,False,False,False,False
641,False,False,False,True
642,False,True,True,True
643,False,False,True,False
644,False,False,False,False
645,False,False,False,False
646,False,False,False,False
647,False,False,False,False
648,False,True,True,True
649,False,False,False,False
650,False,False,False,False
651,False,False,False,False
652,True,True,True,True
653,False,False,False,False
654,False,False,False,False
655,False,False,False,False
656,False,False,False,False
657,True,False,False,False
658,False,False,False,False
659,False,False,False,False
660,False,True,True,False
661,False,False,False,False
662,False,False,False,False
663,False,False,False,True
664,False,False,False,False
665,False,True,False,True
666,False,False,False,False
667,True,False,False,True
668,False,False,False,False
669,True,False,False,True
670,False,True,False,True
671,False,False,False,False
672,False,False,False,False
673,True,False,False,True
674,False,False,False,False
675,False,True,False,False
676,True,False,True,True
677,False,False,False,False
678,True,True,True,True
679,False,False,False,False
680,False,False,False,False
681,False,False,False,False
682,False,False,False,False
683,False,False,False,False
684,False,False,False,False
685,False,True,True,True
686,True,False,True,True
687,False,False,False,False
688,False,False,True,False
689,False,False,False,False
690,False,False,False,False
691,False,False,False,False
692,False,False,False,False
693,False,False,False,False
694,False,False,False,False
695,False,False,False,False
696,False,False,False,False
697,False,False,False,False
698,False,False,False,False
699,False,False,True,True
700,False,False,False,False
701,False,False,False,False
702,False,False,False,True
703,False,True,True,True
704,False,True,True,True
705,False,False,False,False
706,False,False,False,False
707,False,True,True,True
708,True,False,False,True
709,False,True,True,True
710,False,False,False,False
711,False,True,True,True
712,False,False,False,False
713,False,False,False,False
714,False,False,False,False
715,False,False,False,False
716,False,False,False,False
717,True,False,False,True
718,False,True,False,True
719,False,True,False,True
720,False,False,False,False
721,False,False,False,False
722,False,False,False,False
723,False,False,False,False
724,False,False,True,True
725,False,False,False,False
726,False,False,True,False
727,True,True,True,True
728,False,False,False,True
729,False,False,False,False
730,True,False,False,True
731,False,False,False,False
732,False,False,False,False
733,False,False,False,False
734,False,False,False,True
735,False,True,True,False
736,False,False,False,False
737,False,False,False,False
738,False,False,False,True
739,False,False,False,False
740,True,False,False,True
741,False,False,False,False
742,False,False,False,False
743,False,False,False,False
744,False,False,False,False
745,False,False,False,False
746,False,False,True,False
747,False,False,False,False
748,False,False,False,True
749,False,False,False,False
750,False,False,False,False
751,False,False,False,False
752,False,False,True,False
753,False,False,False,False
754,False,False,True,False
755,False,False,False,False
756,False,False,True,True
757,False,False,False,False
758,False,True,True,True
759,False,False,False,False
760,False,False,False,False
761,False,True,False,True
762,False,True,True,True
763,False,True,True,True
764,True,False,False,True
765,False,False,False,False
766,False,False,False,False
767,False,False,False,False
768,False,True,True,True
769,True,False,True,True
770,False,False,False,False
771,False,True,True,True
772,False,True,True,True
773,False,False,True,False
774,False,False,False,False
775,False,False,False,False
776,False,False,False,False
777,False,False,False,False
778,False,False,False,False
779,False,False,False,False
780,False,False,False,False
781,True,False,False,True
782,False,False,False,False
783,False,False,False,False
784,False,False,False,False
785,False,True,True,True
786,True,True,True,True
787,False,False,False,False
788,False,False,False,False
789,True,True,True,True
790,False,False,False,False
791,False,False,False,False
792,False,False,False,False
793,False,True,False,False
794,True,False,False,True
795,False,False,False,False
796,False,False,False,False
797,False,False,False,False
798,False,True,True,True
799,False,False,False,False
800,False,True,True,False
801,False,False,True,False
802,False,False,False,False
803,False,False,False,False
804,False,True,True,True
805,False,False,False,False
806,False,False,False,False
807,False,False,False,False
808,False,False,False,False
809,False,True,True,True
810,False,False,False,False
811,False,True,True,True
812,False,False,False,False
813,False,False,False,False
814,False,False,False,False
815,False,False,False,False
816,True,False,False,True
817,False,False,False,False
818,False,True,True,True
819,False,False,False,False
820,False,True,False,True
821,False,False,False,False
822,False,False,False,False
823,False,False,False,False
824,False,True,True,True
825,False,True,True,True
826,False,False,False,False
827,False,False,False,True
828,False,False,False,True
829,False,False,False,False
830,True,False,False,True
831,False,False,False,False
832,False,True,True,True
833,False,False,False,False
834,False,False,False,False
835,False,False,False,False
836,False,False,False,False
837,False,False,False,False
838,False,False,False,False
839,False,True,True,False
840,False,False,False,True
841,False,False,False,False
842,True,False,False,True
843,False,False,False,False
844,False,False,False,False
845,False,False,True,False
846,False,False,False,False
847,False,True,False,True
848,False,False,False,False
849,False,False,False,False
850,False,False,False,False
851,True,False,False,True
852,False,False,False,False
853,False,False,False,False
854,False,False,False,False
855,False,False,False,False
856,False,True,True,True
857,False,False,False,False
858,False,False,False,False
859,False,False,False,False
860,False,False,False,False
861,False,False,True,False
862,False,False,False,False
863,False,False,False,False
864,False,False,False,False
865,False,True,True,True
866,False,True,True,True
867,False,False,False,False
868,False,False,False,False
869,True,False,False,True
870,False,False,False,False
871,False,False,False,True
872,False,False,False,True
873,False,False,False,False
874,False,False,False,False
875,False,True,True,True
876,True,False,False,True
877,False,True,True,False
878,False,False,False,False
879,True,False,False,True
880,False,True,True,True
881,False,False,True,False
882,False,False,False,False
883,True,True,True,True
884,False,False,False,False
885,True,False,False,False
886,False,False,False,False
887,False,False,False,False
888,False,False,False,False
889,False,False,False,False
890,False,False,False,False
891,False,True,True,True
892,False,False,True,False
893,False,False,False,True
894,False,True,False,False
895,False,False,False,True
896,False,False,True,False
897,False,False,False,False
898,False,False,False,False
899,False,False,False,False
900,False,False,False,False
901,False,True,True,True
902,False,True,True,True
903,False,False,False,False
904,False,False,False,False
905,False,False,False,False
906,False,False,False,False
907,False,False,False,False
908,False,False,False,True
909,False,True,True,True
910,False,False,False,True
911,False,False,True,False
912,False,False,False,False
913,False,False,True,False
914,False,False,False,True
915,True,True,True,True
916,False,False,False,False
917,False,False,False,False
918,False,False,False,False
919,False,False,False,False
920,False,False,True,True
921,False,False,False,False
922,False,False,False,False
923,False,True,False,True
924,False,False,False,False
925,False,True,True,True
926,False,False,False,False
927,False,False,False,False
928,False,False,False,False
929,False,False,False,False
930,False,False,False,False
931,False,False,False,False
932,False,False,False,False
933,False,True,True,False
934,False,False,False,False
935,False,True,True,True
936,False,False,False,False
937,False,False,False,False
938,False,False,False,False
939,False,False,False,False
940,False,False,False,False
941,False,False,False,False
942,False,False,False,False
943,False,False,False,False
944,False,False,False,False
945,True,False,False,False
946,False,True,True,False
947,True,False,False,True
948,False,False,False,False
949,True,False,False,True
950,False,False,False,False
951,False,False,False,False
952,False,False,False,False
953,False,False,False,False
954,False,False,False,False
955,False,False,True,False
956,False,False,False,False
957,False,False,False,True
958,False,False,False,False
959,False,False,False,False
960,False,True,False,False
961,False,False,False,False
962,False,False,False,True
963,False,False,False,False
964,False,True,True,True
965,False,False,False,False
966,False,False,False,False
967,False,False,False,False
968,False,True,False,False
969,False,False,False,False
970,False,True,False,True
971,True,False,False,True
972,False,False,False,False
973,False,True,False,True
974,False,False,True,True
975,False,True,True,True
976,False,False,True,False
977,False,False,True,False
978,False,False,False,False
979,False,False,False,False
980,False,False,False,False
981,False,False,False,True
982,False,False,False,False
983,False,False,False,False
984,False,False,False,False
985,False,False,False,False
986,False,False,False,False
987,False,False,False,True
988,False,False,False,True
989,False,False,True,False
990,False,False,False,True
991,False,False,False,False
992,False,True,True,True
993,False,False,False,False
994,False,False,False,False
995,True,True,True,True
996,False,False,False,False
997,False,True,True,True
998,False,False,False,False
999,False,False,False,False
1000,True,False,False,True
1001,False,False,False,False
1002,False,False,False,False
1003,False,False,False,True
1004,False,False,False,False
1005,False,True,True,False
1006,True,False,True,True
1007,False,False,False,False
1008,False,False,False,False
1009,False,False,False,False
1010,False,False,False,False
1011,True,False,False,True
1012,False,False,False,False
1013,False,False,True,False
1014,False,False,False,False
1015,False,False,False,False
1016,False,False,False,False
1017,False,True,False,True
1018,False,True,True,True
1019,False,False,False,False
1020,False,False,False,False
1021,False,False,False,False
1022,False,False,False,False
1023,False,False,False,False
1024,False,False,False,False
1025,False,True,True,True
1026,False,False,False,False
1027,False,True,True,True
1028,False,False,False,False
1029,False,False,False,False
1030,False,True,True,True
1031,False,False,False,False
1032,False,False,False,False
1033,False,False,False,False
1034,False,False,False,False
1035,False,False,False,True
1036,False,True,True,False
1037,False,False,False,False
1038,False,False,False,False
1039,False,False,False,False
1040,False,False,True,False
1041,False,False,False,False
1042,False,False,False,False
1043,True,True,True,True
1044,True,False,False,True
1045,False,False,False,False
1046,False,True,True,True
1047,False,True,False,False
1048,False,False,False,False
1049,False,False,False,False
1050,False,True,True,True
1051,False,False,False,False
1052,False,False,False,False
1053,True,True,True,True
1054,False,False,False,False
1055,False,False,False,False
1056,False,True,True,True
1057,False,False,False,False
1058,False,True,True,True
1059,False,False,False,True
1060,False,True,False,True
1061,True,False,False,True
1062,False,True,True,True
1063,False,False,False,False
1064,False,False,False,False
1065,False,False,False,True
1066,True,False,False,True
1067,False,False,False,False
1068,False,False,False,False
1069,False,False,False,False
1070,False,True,True,False
1071,True,False,False,True
1072,False,False,False,False
1073,False,False,True,False
1074,False,False,False,False
1075,False,False,False,False
1076,False,False,False,False
1077,False,False,False,False
1078,False,False,False,False
1079,False,False,False,False
1080,False,False,False,False
1081,True,False,False,True
1082,False,False,False,False
1083,False,False,False,False
1084,False,False,False,False
1085,False,True,True,False
1086,False,True,True,True
1087,False,False,False,False
1088,False,False,False,False
1089,False,False,False,False
1090,False,False,False,False
1091,True,False,False,True
1092,False,False,False,False
1093,False,False,False,False
1094,False,False,False,False
1095,False,True,True,True
1096,False,False,False,False
1097,False,False,False,False
1098,False,False,False,False
1099,False,False,False,False
1100,False,True,True,False
1101,False,False,False,False
1102,False,False,False,False
1103,False,False,False,False
1104,False,False,False,False
1105,False,False,False,False
1106,True,False,False,True
1107,True,True,True,True
1108,False,True,False,False
1109,False,False,False,False
1110,False,True,True,False
1111,False,False,False,False
1112,False,False,False,False
1113,False,False,False,False
1114,False,False,False,False
1115,False,False,False,False
1116,False,False,True,False
1117,False,False,False,False
1118,False,False,False,False
1119,False,False,True,False
1120,False,False,True,False
1121,False,False,False,False
1122,False,False,False,False
1123,False,False,True,False
1124,False,False,True,False
1125,False,False,False,False
1126,False,False,False,False
1127,False,False,False,False
1128,False,False,False,False
1129,False,False,False,True
1130,False,False,False,False
1131,False,False,False,False
1132,True,True,True,True
1133,True,True,True,True
1134,True,False,True,True
1135,False,False,False,False
1136,False,False,False,False
1137,False,False,False,False
1138,True,False,True,False
1139,False,False,False,False
1140,False,False,False,False
1141,True,False,False,True
1142,False,False,False,False
1143,False,True,True,False
1144,True,False,False,True
1145,True,True,True,True
1146,False,False,False,False
1147,False,False,False,False
1148,False,False,False,False
1149,False,False,False,False
1150,False,True,True,True
1151,False,True,True,False
1152,False,False,False,False
1153,False,False,False,False
1154,False,False,False,False
1155,False,False,False,False
1156,False,False,False,False
1157,False,False,False,False
1158,False,False,False,False
1159,True,False,True,True
1160,False,False,False,False
1161,False,False,False,False
1162,False,False,True,False
1163,False,False,False,False
1164,False,False,False,False
1165,False,True,True,False
1166,False,True,False,True
1167,False,False,False,False
1168,False,False,False,False
1169,False,False,False,False
1170,False,False,True,False
1171,False,False,False,False
1172,False,False,True,False
1173,True,False,False,True
1174,False,False,False,False
1175,False,False,False,False
1176,False,False,False,False
1177,False,False,False,False
1178,False,True,True,True
1179,False,False,False,False
1180,False,False,False,False
1181,False,False,True,False
1182,False,False,False,False
1183,False,True,True,False
1184,False,True,True,False
1185,False,False,False,False
1186,False,False,False,False
1187,False,False,False,False
1188,False,False,False,False
1189,False,False,False,True
1190,False,False,False,False
1191,True,False,False,True
1192,False,False,False,False
1193,False,False,False,False
1194,False,False,False,False
1195,False,False,False,False
1196,True,False,True,True
1197,True,False,False,True
1198,False,True,False,False
1199,False,False,False,False
1200,False,True,True,True
1201,False,False,False,False
1202,False,False,True,False
1203,True,False,False,False
1204,True,False,False,True
1205,False,False,False,False
1206,False,False,False,False
1207,False,False,False,False
1208,False,False,False,False
1209,False,False,False,False
1210,False,False,False,False
1211,False,False,False,False
1212,False,False,False,False
1213,False,False,False,True
1214,False,False,True,False
1215,False,False,False,False
1216,False,False,False,False
1217,True,False,True,True
1218,False,True,True,True
1219,False,True,True,True
1220,False,True,True,True
1221,False,False,False,False
1222,False,False,False,False
1223,False,False,False,False
1224,False,False,False,False
1225,False,False,False,False
1226,False,False,True,False
1227,False,False,True,False
1228,False,False,True,False
1229,False,False,False,False
1230,True,False,False,True
1231,False,True,True,True
1232,False,False,False,False
1233,False,False,False,False
1234,False,False,False,False
1235,False,True,False,False
1236,False,False,False,False
1237,False,False,False,False
1238,False,False,False,False
1239,False,False,False,False
1240,False,False,False,False
1241,False,False,False,False
1242,False,False,False,False
1243,False,True,True,True
1244,False,False,False,False
1245,False,False,True,False
1246,False,True,True,False
1247,False,False,True,False
1248,False,False,False,False
1249,False,False,False,False
1250,False,False,False,False
1251,True,False,False,True
1252,False,False,False,False
1253,False,False,True,False
1254,False,False,False,False
1255,False,False,False,False
1256,False,False,False,False
1257,False,False,False,False
1258,False,True,True,False
1259,False,False,False,False
1260,True,False,False,True
1261,False,False,False,False
1262,False,False,False,False
1263,True,False,False,True
1264,False,False,False,False
1265,False,False,False,False
1266,False,False,True,True
1267,False,False,False,False
1268,True,True,True,True
1269,False,False,False,False
1270,True,False,False,True
1271,False,False,False,True
1272,False,False,False,False
1273,False,True,False,True
1274,False,False,False,False
1275,False,False,False,False
1276,False,True,True,True
1277,False,True,False,True
1278,False,True,True,True
1279,False,True,True,True
1280,False,True,False,True
1281,False,False,True,False
1282,False,True,True,False
1283,False,False,False,False
1284,False,True,False,True
1285,False,True,True,True
1286,False,False,False,False
1287,False,False,False,False
1288,False,True,True,True
1289,False,False,False,False
1290,False,False,False,False
1291,False,False,True,False
1292,False,True,True,True
1293,False,True,True,True
1294,False,False,False,False
1295,False,False,False,True
1296,False,False,False,True
1297,False,False,False,False
1298,False,False,False,False
1299,False,True,False,True
1300,False,False,False,False
1301,True,False,False,True
1302,True,True,True,True
1303,True,False,False,True
1304,False,False,False,False
1305,True,False,True,True
1306,False,False,False,False
1307,False,False,False,False
1308,False,False,False,False
1309,True,False,False,True
1310,False,True,True,True
1311,False,False,False,False
1312,False,False,False,False
1313,True,False,True,True
1314,False,False,False,False
1315,False,False,False,False
1316,True,False,False,True
1317,False,False,False,False
1318,False,False,False,False
1319,False,True,True,True
1320,False,False,False,False
1321,False,False,False,False
1322,False,False,True,False
1323,False,False,False,False
1324,False,False,True,False
1325,False,False,False,False
1326,False,False,False,False
1327,False,False,False,False
1328,False,False,False,False
1329,False,True,True,True
1330,False,False,False,False
1331,False,False,False,False
1332,False,False,False,False
1333,False,True,True,True
1334,False,True,True,False
1335,False,False,False,False
1336,False,False,False,False
1337,False,False,False,False
1338,False,False,True,False
1339,False,False,False,False
1340,False,False,False,True
1341,False,False,False,False
1342,False,True,True,False
1343,False,False,False,False
1344,False,False,False,False
1345,True,False,False,True
1346,False,False,False,True
1347,True,False,False,True
1348,False,True,True,True
1349,False,False,False,False
1350,False,False,False,False
1351,False,False,False,False
1352,False,False,False,False
1353,False,False,False,False
1354,False,False,False,False
1355,False,True,True,True
1356,False,False,False,False
1357,False,True,True,True
